whitish,adj. 发白的
transcontinental,adj. 横贯大陆的
decomposer,n. 分解者
expression,n. 表情，表达
hydrothermal,adj. 热液的
discard,v. 丢弃
numerous,adj. 许多的
investigation,n. 调查研究
ruffle,v. 弄皱
dictation,n. 命令
objectively,adv. 客观地
applause,v. 鼓掌
so forth,.等等
kidnap,v. 绑架
conquest,n. 征服
breakage,n. 损坏
widen,v. 使…变宽
hip,n. 臀部
semiprivate,adj. 半私用的
waking,n. 醒
associate,v. 联系；n. 伙伴
fairy,n. 仙子；adj. 仙子的
respected,adj. 受尊敬的
kin,n. 亲属
ancient,adj. 古代的，古老的；n. 古人
word,n. 单词，话
exhaustion,n. 耗尽
resilience,n. 适应能力，弹性
observable,adj. 明显的，能看到的
unaltered,adj. 未改变的
tear,n. 眼泪
curly,adj. 卷曲的
cosmic,adj. 宇宙的
forester,n. 林务员
simultaneous,adj. 同时发生的
assumption,n. 假定
tenor,adj. 男高音的
imminent,adj. 迫近的
seafloor,n. 海底
canny,adj. 精明谨慎的
approval,n. 批准，赞同
entrepreneurial,adj. 企业家的
imperil,v. 危及
perforate,v. 在…上打齿孔
reception,n. 接收，接待，招待会
solemn,adj. 庄严的
design,v. 设计；n. 设计，图案
warship,n. 军舰
repression,n. 压制
lag,n. 延搁
carpeting,n. 地毯
hint,n. 迹象，暗示
heterogeneity,n. 异质性
amusing,adj. 有趣的
flightless,adj. 不能飞的
midst,n. 中间
particle,n. 颗粒
sign,n. 迹象，符号，招牌；v. 签名
scholarship,n. 奖学金
buffalo,n. 水牛
calculus,n. 微积分
eastern,adj. 东方的
sarcasm,n. 讽刺
lessen,v. 减少
descend,v. 下来，起源
uplift,v. 上升
moth,n. 蛾
amply,adv. 充分地
flyer,n. 传单
invariable,adj. 不变的
preoccupy,v. 迷住
egalitarian,adj. 平等主义的；n. 平等主义者
breathe,v. 呼吸
vibration,n. 震动
collective,adj. 集体的
worsen,v. 变得更糟
schooling,n. 教育
estimation,n. 估计
tighten,v. 收紧
leach,v. 滤去
redistribute,v. 重新分配
etc,adv. 等等（是et cetera的省略）
sparsely,adv. 稀少地
splendor,n. 辉煌
believable,adj. 可相信的
spectral,adj. 光谱的
therefore,adv. 所以
rebel,v. 反叛
galley,n. 桨帆船
instantly,adv. 立即
sedimentation,n. 沉积
coating,n. 覆盖层
visualization,n. 形象化，想像
dimensional,adj. 维度的
stylize,v. 程式化
apology,n. 道歉
sector,n. 行业
nonmetropolitan,adj. 非城市地区的
guardian,n. 保卫者
interrupt,v. 打断
diamond,n. 钻石
dehydrate,v. 使...脱水
secretion,n. 分泌物
delay,v. 推迟；n. 延迟
alligator,n. 短吻鳄
renew,v. 重新开始，翻新
batch,n. 一批
unavoidable,adj. 不可避免的
ornament,n. 装饰
foremost,adj. 最重要的；adv. 在最前
artfully,adv. 巧妙地
habitat,n. 栖息地
worse,adj. 更差的
devise,v. 设计
fascinating,adj. 迷人的
heyday,n. 全盛期
luminescent,adj. 发光的
infrastructure,n. 基础设施
terminology,n. 术语
frustrated,adj. 受挫的
beneficiary,n. 受惠者
starvation,n. 饥饿
diverge,v. 分叉，相异
glial,adj. 神经胶质的
attractiveness,n. 吸引力
specifically,adv. 特别地
nickel,n. 镍
seemingly,adv. 表面上
obstruct,v. 阻碍
resemble,v. 与...类似
honestly,adv. 诚实地
malformation,n. 畸形
unsuitable,adj. 不合适的
reflection,n. 深思，反映，反射
reluctant,adj. 不情愿的
electronics,n. 电子学，电子器件
coerce,v. 胁迫
skiing,n. 滑雪
encompass,v. 围绕，包含
weaken,v. 削弱
indefinite,adj. 含糊的
interbed,v. 形成夹层
proof,n. 证据；v. 证明
homecoming,n. 回家
occupant,n. 居住者
anthropological,adj. 人类学的
ecosystem,n. 生态系统
educator,n. 教育工作者
rank,n. 等级；v. 把…分级
remark,v. 评论
episode,n. 一个事件，一集
select,v. 挑选
calibrate,v. 校准
evidence,n. 证据；v. 证明
battery,n. 电池
enhance,v. 提高
illustrator,n. 插图画家
angry,adj. 发怒的，表示愤怒的
mangrove,n. 红树林
recipient,n. 接受者
choke,v. 堆满
brushstroke,n. 画笔的一笔
wary,adj. 警惕的
engraver,n. 雕刻师
seriously,adv. 严重地，严肃地
fade,v. 使…褪色 ，逐渐消失
cloth,n. 布料
adjacent,adj. 附近的
dynasty,n. 朝代
narrated,adj. 叙述的
unite,v. 联合
openness,n. 开阔
literature,n. 文学，专题文献
enriched,adj. 丰富的
drumstick,n. 鼓槌
revert,v. 恢复
relevant,adj. 有关的
undesert,adj. 不像沙漠的…
avenue,n. 途径，大街
magnification,n. 放大
summary,n. 总结
mismatch,n. 错配，不匹配
stake,v. 立桩标出 ；n. 赌注
stratum,n. 地层（复数：strata）
fundamental,adj. 基本的，关键的
enamored,adj. 喜欢某事物/某人
endowment,n. 天赋，资助
resourceful,adj. 足智多谋
rarely,adv. 极少地
mislead,v. 误导
enclose,v. 围绕
debate,n. 争论；v. 争论
suitability,n. 适合
polymer,n. 聚合物
mastery,n. 精湛技艺
stock,n. 股份，家畜；v. 库存
nickname,v. 给…起绰号
component,n. 要素，[化学]组分，零件；adj. 组成的
anymore,adv. 不再
notoriously,adv. 恶名昭彰地
mystify,v. 使神秘化
fleet,n. 船队
intermission,n. 间歇
battle,n. 战斗，斗争
era,n. 时代
diffuse,v. 扩散，传播；adj. 分散的
reverse,v. 逆转；adj. 相反的
uneventful,adj. 平平淡淡的
soilless,adj. 无土的
consistency,n. 连贯性
importantly,adv. 重要地
sprout,v. 发芽
horizon,n. 水平线，范围
farmhouse,n. 农舍
barrel,n. 桶
renovation,n. 革新，修理
wildly,adv. 广泛的
spectacularly,adv. 惊人地
statue,n. 雕像
trustworthy,adj. 可靠的
announce,v. 宣布
asymmetrical,adj. 不对称的
ounce,n. 盎司
highland,n. 高地
flame,n. 火焰
scavenger,n. 食腐动物
ethnically,adv. 在种族方面
channel,n. 水渠，途径；v. 经沟槽输送，引导
forager,n. 觅食者
ravages,n. 毁坏
steer,v. 沿着…前进
embarrassing,adj. 令人尴尬的
impartial,adj. 公正的，中立的
immature,adj. 未成熟的
premier,adj. 最初的
stilt,n. 支柱
inability,n. 不能
melted,adj. 融化的
impurity,n. 杂质
inventiveness,n. 创意
unconsolidated,adj. 松散的
zooplankton,n. 浮游动物
ginger,n. 姜
fragrance,n. 香味
stratify,v. 形成阶层
clothe,v. 为…提供衣物
cleanse,v. 净化
buoyant,adj. 有浮力的
gene,n. 基因
view,n. 观点，视野；v. 看，看待
resurgence,n. 复兴
provision,n. 供给，条款
passion,n. 激情
foodstuff,n. 食品
withhold,v. 隐瞒
shipbuilder,n. 造船公司
erodible,adj. 可侵蚀的
certainty,n. 必然的事
intermediate,adj. 中间的，中等程度的
Mesoamerica,n. 中美洲
precisely,adv. 恰好，精确地
color,n. 颜色；v. 给…着色
irregularly,adv. 不规则地，无规律地
override,v. 优先于
variant,adj. 不同的
deploy,v. 有效利用
plaque,n. 匾牌
discern,v. 觉察
estivate,v. 夏眠
spectroscope,n. 分光镜
phonograph,n. 留声机
cellulosic,adj. 纤维素的
theme,n. 主题
stray,adj. 流浪的
incubation,n. 孵化
assortment,n. 各种各样
overstatement,n. 夸大
wedding,n. 婚礼
kitchenware,n. 厨房用具
crystal,n. 水晶；adj. 清澈的
clutch,n. 一窝
slippery,adj. 滑的
Greek,adj. 希腊的，希腊人的，希腊语的；n. 希腊人
appoint,v. 任命
flank,n. 侧面
unpromising,adj. 没有前途的
brine,n. 海水
proprietor,n. 所有者
equation,n. 方程
legitimate,adj. 合法的
stride,n. 大步
proactive,adj. 主动的，前瞻的
livestock,n. 牲畜
macroscopic,adj. 宏观的
sufficiency,n. 足量
overcome,v. 克服，战胜
critic,n. 批评者
fracture,v. 折裂
landscape,n. 陆上风景，形势
demeaning,adj. 有失尊严的
glassmaking,n. 玻璃制造
steady,adj. 稳定的
alchemist,n. 炼金术士
fin,n. 鳍
bather,n. 游泳者
gem,n. 宝石
reasoning,n. 推理，论据
singe,n. 烧焦
statuette,n. 小雕塑
discolor,v. 变色，褪色
multidisciplinary,adj. 多学科的
beg,v. 恳求
fearsome,adj. 吓人的
manifestation,n. 表现形式
scratch,v. 抓挠
awkwardness,n. 尴尬
actuality,n. 真实情况
deflect,v. 使…偏斜
equator,n. 赤道
rainfall,n. 降雨量
prayer,n. 祷告
staffer,n. 职员
reformer,n. 改革家
facilitation,n. 助长
dash,adj. 风度翩翩的
lethal,adj. 致命的
boast,v. 自豪地拥有，自夸
homogeneous,adj. 同质的，同种族的
accumulate,v. 积累
lifetime,n. 一生
conversion,n. 转变
humankind,n. 人类
archive,n. 档案
whichever,pron. 无论哪个
cubic,adj. 立方的
mortgage,v. 抵押
flash,n. 闪光，突发；v. 闪光
genetics,n. 遗传学
intentionally,adv. 有意地
rely,v. 依靠
challenging,adj. 挑战性的
satirical,adj. 讽刺性的
averse,adj. 嫌恶的
oversee,n. 监督；v. 监督
warrant,v. 授权
forgetfulness,n. 健忘
excessive,adj. 过分的
centralization,n. 集权化
formerly,adv. 以前
chunk,n. 大块
publish,v. 发表，公布
buyer,n. 买主
stealthy,adj. 偷偷摸摸的
timescale,n. 时间段
predatory,adj. 捕食性的，掠夺的
tectonic,adj. 地壳构造的
aromatic,adj. 芳香的
bloom,v. 开花
peninsular,adj. 半岛的
holism,n. 整体论
nest,n. 窝；v. 筑巢
ethnography,n. 人种学
uphold,v. 支持
mindlessly,adv. 无需动脑地
thickly,adv. 厚厚地
Cretaceous,adj. 白垩纪的；n. 白垩纪
legwork,n. 跑腿活儿
prolonged,adj. 持久的，延长的
epoch,n. 时代
rodent,n. 啮齿动物
ample,adj. 大量的，足够的
garrison,n. 卫戍部队
moisture,n. 潮湿，水汽
marry,v. 结婚
flashy,adj. 俗艳的
ultrasonic,adj. 声波超声的
degradation,n. 恶化
inhale,v. 吸气
soviet,adj. 苏联的
glowing,adj. 发光的
astonishingly,adv. 令人惊奇地
extra,adj. 额外的；n. 另外收费的事物
mold,n. 模子；v. 用模具制造
pumpkin,n. 南瓜
symbolically,adv. 象征性地
hysterical,adj. 歇斯底里的
pollution,n. 污染
cello,n. 大提琴
hospitality,n. 款待
overemphasize,v. 过分强调
replacement,n. 取代
navigable,adj. 可通航的
miscalculate,v. 估计错误
furthermore,adv. 而且
exposed,adj. 露出的
intriguing,adj. 引起兴趣的
accessibility,n. 容易到达
waterproof,adj. 防水的
examination,n. 调查，考试
patriotism,n. 爱国主义
eventual,adj. 最终的
extensively,adv. 广泛地，全面地，大量地
precursor,n. 先驱，前兆
laser,n. 激光
complement,v. 补充
factual,adj. 事实的
torrid,adj. 酷热的
alphabet,n. 字母表
bidder,n. 出价者
cancel,v. 使…无效
onset,n. 开始，攻击
publication,n. 出版物，出版
seaweed,n. 海藻
dye,n. 染料；v. 染色
likelihood,n. 可能性
lure,v. 引诱；n. 诱饵
cylinder,n. 汽缸，圆柱体
basin,n. 盆地，流域
pitfall,n. 陷阱
forage,v. 搜寻食物
database,n. 数据库
meteoric,adj. 流星的
independence,n. 独立
revelation,n. 被暴露的真相
uncertainty,n. 不确定
pouch,n. 小袋，育儿袋
industrial,adj. 工业的
quantifiable,adj. 可量化的
visible,adj. 看得见的
possess,v. 具有
carpet,n. 厚厚的一层，地毯
physicist,n. 物理学家
ridge,n. 隆起，山脊
gather,v. 聚集，逐渐增加
consideration,n. 考虑
deform,v. 畸变，变形
inactivity,n. 无活动
fluorescence,n. 荧光
ethics,n. 伦理学，道德准则
developmental,adj. 发育的，发展的
qualified,adj. 有资格的
cataclysmic,adj. 灾难性的
brilliant,adj. 极好的，明亮的
unsupported,adj. 无支援的
moist,adj. 湿润的
banking,n. 银行业
drag,v. 拖；n. 阻力
mistakenly,adv. 错误地
protection,n. 保护
vinegar,n. 醋
woolens,n. 毛衣
frame,n. 框架；v. 给...加框
absolute,adj. 绝对的，确凿的
trend,n. 趋势
watertight,adj. 不漏水的
possibly,adv. 可能地
infectious,adj. 传染性的
reemerge,v. 再次出现
additionally,adv. 另外
educational,adj. 教育的
locale,n. 发生地点
alert,v. 向...报警
confident,adj. 自信的
interaction,n. 交流，相互作用
tension,n. 张力，紧张，电压，对立
arouse,v. 引起
income,n. 收入
civilization,n. 文明
innovate,v. 革新
equip,v. 装备
downward,adv. 向下地；adj. 向下的
advantage,n. 有利条件，用处，最佳效果
stair,n. 楼梯
consume,v. 吃，耗尽，毁灭
legislation,n. 立法，法律
unrecognized,adj. 未被意识到的
ecotourism,n. 生态旅游
fodder,n. 饲料
ridiculous,adj. 荒谬的
articulation,n. 接合
perilous,adj. 危险的
methodical,adj. 有条理的
prosperous,adj. 繁荣的
matter,n. 物质，事情；v. 要紧
incoming,adj. 即将到来的
assemble,v. 聚集
audio,adj. 声音的
messy,adj. 混乱的
filter,v. 过滤；n. 过滤器
extinguish,v. 熄灭
counteract,v. 抵消
invest,v. 投资，赋予
predication,n. 预测
overhead,adj. 头顶上的
avoidance,n. 逃避，避免
dismantle,v. 拆除
disorient,v. 使迷失方向
arboreal,adj. 树栖的
customer,n. 顾客
meteorological,adj. 气象的
designate,v. 命名
diameter,n. 直径
unidealized,adj. 不理想的
folk,n. 人们；adj. 民间的
button,n. 按钮，纽扣
rigor,n. 严酷
aisle,n. 走道
spectroscopy,n. 光谱学
laden,adj. 满载的
magnetic,adj. 有磁性的
portability,n. 便携性
vastness,n. 辽阔
presumed,adj. 推测的
loosen,v. 放松
assert,v. 主张
herbivore,n. 食草动物
unfair,adj. 不公平的，不公正的
challenge,n. 挑战；v. 质疑，向…挑战
mining,n. 采矿
bustling,adj. 熙熙攘攘的
statistical,adj. 统计的
quartz,n. 石英
optimize,v. 使最优化
deceive,v. 欺骗
primordial,adj. 原始的
breed,v. 培育；n. 种类
decrease,v. 减少；n. 减少
accentuate,v. 使…更明显
knack,n. 技能
curvilinear,adj. 曲线的
eclipse,n. 日食，月食
biomineral,n. 生物矿物
uranium,n. 铀
spit,v. 吐出
mortality,n. 死亡率，死亡
theorize,v. 从理论上说明
diverse,adj. 多种多样的，不同的
deluge,n. 洪水
whip,v. 煽动，搅动
optimum,n. 最佳条件
interdependence,n. 相互依赖
coloration,n. 色彩
noble,adj. 高贵的
methodological,adj. 方法的
testify,v. 证实
unchangeable,adj. 不可改变的
lack,v. 缺乏；n. 缺乏
dilute,v. 稀释
savannah,n. 稀树草原
unshielded,adj .无保护的
periodically,adv. 定期地，周期地
fertilizer,n. 肥料
bedrock,n. 基岩
tortuous,adj. 弯弯曲曲的
filmmaker,n. 电影制作人
imaginary,adj. 虚构的
grid,n. 网格，输电网
likely,adj. 可能的
assume,v. 假定，呈现，承担
daring,adj. 大胆的
magma,n. 岩浆
slim,adj. 苗条的
specie,n. 硬币
squeal,n.  尖叫声
revival,n. 复兴
stigma,n. 柱头
crab,n. 蟹
mush,v. 碾碎
thunderstorm,n. 雷暴
compromise,v. 妥协
conflate,v. 把…混淆
mushroom,n. 蘑菇
brew,v. 酝酿
hatch,v. 孵
dependable,adj. 可靠的
aging,n. 变老
irregularity,n. 不规则，无规律
intensity,n. 强烈
protein,n. 蛋白质
briefly,adv. 短暂地
mixture,n. 混合体
adore,v. 喜爱
casing,n. 外壳
ceremony,n. 仪式
adopt,v. 采用
elementary,adj. 基础的，小学的
scare,v. 使害怕
luminous,adj. 发光的
charm,n. 魔法
Arabian,adj. 阿拉伯的
union,n. 联盟
acknowledge,v. 承认
mobile,adj. 可移动的
amuse,v. 给...提供消遣
electrical,adj. 电的
pluck,v. 弹奏
rainforest,n. 雨林
aboveground,adv. 在地面上
awareness,n. 意识
accelerate,v. 加速
reuse,v. 再使用
paintwork,n. 画作
merely,adv. 仅仅
revolution,n. 革命
vocal,adj. 有声的
enclosed,adj. 封闭的
octopus,n. 章鱼
Fahrenheit,n. 华氏温标
outer,adj. 外边的
worthy,adj. 值得
strict,adj. 严格的
tar,n. 焦油沥青
humanness,n. 人性
paramount,adj. 至上的，首要的
industrialist,n. 工业家
orchestral,adj. 管弦乐队(演奏)的
feeding,adj. 喂食的；n. 喂食
primarily,adv. 主要地，首先
rhythmical,adj. 有节奏的
paddle,v. 划桨；n. 桨
prosper,v. 繁荣
impressionism,n. 印象派
paleoecologist,n. 古生态学家
excess,adj. 过多的 ；n. 过量
palm,n. 手掌，棕榈树
reproduction,n. 繁殖，复制品
isolation,n. 隔离，孤立
sonar,n. 声呐
platform,n. 平台，舞台
turbo,n. 涡轮增压器
stressed,adj. 受应力作用的
potent,adj. 强大的
blast,n. 爆炸
immense,adj. 巨大的，严重的
mottled,adj. 杂色斑驳的
whiten,v. 使变白
intestine,n. 肠
assembly,n. 装配，公民大会
infringe,v. 侵犯
selection,n. 挑选
mid,adj. 中间
epidemic,n. 传染病
juggler,n. 抛接杂技演员
anxious,adj. 焦虑的
currently,adv. 当前
lightweight,adj. 轻便的
erode,v. 侵蚀
constellation,n. 星座
articulate,v. 明确地表达
confine,v. 限制
inscribed,adj. 雕刻的
magnetism,n. 磁性
guidance,n. 指导
advance,v. 提高，进步，前进；n. 发展，预先
conclusive,adj. 确定的
extend,v. 延伸
mindset,n. 观念模式
caged,adj. 关在笼中的
alertness,n. 警惕
finite,adj. 有限的
retraction,n. 收回
plural,adj. 复数的
attractive,adj. 有吸引力的
invisible,adj. 看不见的，被忽视的
vaporize,v. 使...汽化
predisposition,n .倾向
candidate,n. 候选人
spiritually,adv. 精神上
uniqueness,n. 独特性
submissive,adj. 顺从的
humorous,adj. 幽默的
avant-garde,adj. 前卫派的；n. 前卫派
respiratory,adj. 呼吸的
permanent,adj. 永久的
weighable,adj. 可称的
optics,n. 光学
explode,v. 爆炸，激增
mason,n. 石匠
protective,adj. 防护性的
moor,v. 停泊
contemplation,n. 深思
connected,adj. 相连的，相关的
downturn,n. 衰退
malleable,adj. 有延展性的
comet,n. 彗星
subsistence,n. 维持生计
tuition,n. 学费
embroiderer,n. 刺绣工
rehearsal,n. 排演，预演
episodic,adj. 不定期的
hypothesis,n. 假设（复数：hypotheses）
circadian,adj. 昼夜节律的；n. 昼夜节律
radius,n. 半径，范围
estimate,v. 估计；n. 估计
luminosity,n. 发光
prehistory,n. 史前时期
fee,n. 费
headphone,n. 耳机
restrain,v. 抑制
feather,n. 羽毛
flatten,v. 变平，停止
rescue,v. 解救
syllabus,n. 教学大纲
simulation,n. 模仿
interim,adj. 临时的
bunch,n. 一群，一束，一捆，一串
dull,adj. 暗淡的
magnificent,adj. 壮观的
hire,v. 雇用
pasture,n. 牧场；v. 放牧
territorial,adj. 领土的
turbidity,n. 浑浊度
mosque,n. 清真寺
faction,n. 派系斗争
strengthen,v. 增强
blurriness,n. 模糊
sizable,adj. 相当大的
relieve,v. 缓解
treatise,n .论文
stunned,adj. 眩晕的
counterargument,n. 相反论点
transmission,n. 传送，传染
compression,n. 压缩
water-powered,adj. 水力的
gravity,n. 重力
fabulous,adj. 极好的
pearl,n. 珍珠
nano,n. 毫微
abound,v. 丰富
cortex,n. 脑皮层
analogy,n. 类比
furious,adj. 狂怒的
oceanic,adj. 海洋的
carefree,adj. 无忧无虑的
ascribe,v. 把…归因于
establishment,n. 建立，企业
toad,n. 蟾蜍
calligrapher,n. 书法家
episodically,adv. 偶然发生的
barricade,n. 障碍物
frighten,v. 使…惊恐
geology,n. 地质学，地质状况
seasonally,adv. 季节性地
